temperature,humidity,horizontal_radiation,normal_radiation,heating,cooling,ventilation,gains
4.93,65.34,0.0,0.0,171.65,0.0,0,138.6
5.07,54.61,0.0,0.0,170.59,0.0,0,138.6
3.71,62.33,0.0,0.0,206.19,0.0,0,138.6
2.36,70.05,0.0,0.0,241.49,0.0,0,138.6
1.0,77.77,0.0,0.0,275.97,0.0,0,138.6
-0.36,85.49,0.0,0.0,310.36,0.0,0,138.6
-1.71,93.21,0.0,0.0,345.5,0.0,0,138.6
-3.07,98.51,0.0,0.0,381.54,0.0,0,138.6
-1.67,92.07,6.17,42.22,298.39,0.0,0,138.6
0.09,86.52,59.33,423.47,275.06,0.0,0,138.6
1.13,84.47,74.67,627.66,190.27,0.0,0,138.6
2.52,79.16,79.08,715.54,137.17,0.0,0,138.6
3.79,73.77,74.25,763.87,102.19,0.0,0,138.6
4.78,70.19,68.67,728.45,91.6,0.0,0,138.6
5.5,68.01,94.75,408.13,126.18,0.0,0,138.6
5.86,69.69,48.75,359.85,137.49,0.0,0,138.6
5.23,72.13,4.42,36.68,181.36,0.0,0,138.6
3.79,76.82,0.0,0.0,190.04,0.0,0,138.6
3.26,80.68,0.0,0.0,230.58,0.0,0,138.6
3.13,82.47,0.0,0.0,199.27,0.0,0,138.6
2.94,84.0,0.0,0.0,213.65,0.0,0,138.6
2.9,85.4,0.0,0.0,234.71,0.0,0,138.6
3.15,85.96,0.0,0.0,220.24,0.0,0,138.6
3.51,86.34,0.0,0.0,213.16,0.0,0,138.6
3.84,86.77,0.0,0.0,328.07,0.0,0,13.86
4.21,87.23,0.0,0.0,283.43,0.0,0,13.86
4.5600000000000005,87.88,0.0,0.0,302.41,0.0,0,13.86
5.23,87.62,0.0,0.0,279.67,0.0,0,13.86
5.83,87.51,0.0,0.0,266.4,0.0,0,13.86
6.13,88.4,0.0,0.0,260.89,0.0,0,13.86
6.19,90.1,0.0,0.0,260.94,0.0,0,13.86
6.27,91.53,0.0,0.0,258.22,0.0,0,13.86
6.44,92.48,6.33,43.58,229.17,0.0,0,13.86
6.58,93.81,60.67,299.73,228.37,0.0,0,13.86
7.11,93.65,72.25,32.02,210.77,0.0,0,13.86
7.76,93.66,72.92,0.0,198.43,0.0,0,13.86
8.32,94.42,92.08,0.5,174.95,0.0,0,13.86
8.98,94.62,105.92,2.25,157.72,0.0,0,13.86
9.77,94.6,81.58,7.29,149.02,0.0,0,13.86
10.36,94.63,54.83,31.68,148.74,0.0,0,13.86
10.64,95.03,5.33,3.52,160.04,0.0,0,13.86
10.68,96.44,0.0,0.0,132.19,0.0,0,13.86
10.61,98.18,0.0,0.0,169.4,0.0,0,13.86
9.98,99.03,0.0,0.0,145.14,0.0,0,13.86
9.56,99.27,0.0,0.0,167.84,0.0,0,13.86
